Date,Date,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-11-29,2017-11-29,11250,8980.72,9820.04,7288.3592,75836708.6064,10405.1826379
2017-11-28,2017-11-28,9978.85,9648.6,9936.23,2439.9193,24001202.5607,9836.88376936
2017-11-27,2017-11-27,9764.84,9336.08,9755,3176.637,30473251.2462,9592.92838503
2017-11-26,2017-11-26,9518.67,8752.34,9334.25,2461.7731,22611187.7402,9184.91949572
2017-11-25,2017-11-25,8793.49,8166.52,8785,2315.4592,19867490.3003,8580.36725513
2017-11-24,2017-11-24,8335.27,7879.68,8205.25,1622.5737,13261182.7955,8172.93094023
2017-11-23,2017-11-23,8270.98,8010,8010,1304.0681,10645113.0136,8163.00392105
2017-11-22,2017-11-22,8289.12,8063.17,8234.2,2050.9491,16751948.6781,8167.90074317
2017-11-21,2017-11-21,8356.99,7795.5,8098.31,2901.1067,23538435.4349,8113.60555436
2017-11-20,2017-11-20,8281,7950,8231.93,2137.5059,17437575.4191,8157.90750292
2017-11-19,2017-11-19,8100.28,7678.3,8041.09,1591.6302,12616508.7579,7926.78397151
2017-11-18,2017-11-18,7838.95,7457.21,7780,1372.3247,10579276.8159,7709.01872997
2017-11-17,2017-11-17,8000,7519.55,7690.38,2764.9505,21602007.0555,7812.80064706
2017-11-16,2017-11-16,7982.79,7122.2,7841.77,3688.4347,27881437.9435,7559.15183845
2017-11-15,2017-11-15,7345.31,6602.42,7292.56,3612.011,25335802.3793,7014.32038255
2017-11-14,2017-11-14,6742.29,6484.85,6604.17,1897.8457,12492344.3871,6582.38147973
2017-11-13,2017-11-13,6797.05,5809.17,6523.86,3480.333,22079746.3337,6344.14762428
2017-11-12,2017-11-12,6452.86,5493,5856.39,4868.5142,29257552.403,6009.54443205
2017-11-11,2017-11-11,6826.42,6200,6351.07,3206.6543,20646979.6351,6438.79186949
2017-11-10,2017-11-10,7344.6,6420.5,6571.91,7058.3352,48531900.9686,6875.82830702
2017-11-09,2017-11-09,7504.56,7054.21,7151.29,2222.3057,15999399.5437,7199.45934696
2017-11-08,2017-11-08,7870,7077.24,7477.05,5350.8713,39770702.7179,7432.56574268
2017-11-07,2017-11-07,7229,6958.45,7123.55,3361.7545,23862954.5006,7098.36322092
2017-11-06,2017-11-06,7427,6925.2,6958.54,5102.1546,36528225.0186,7159.37243818
2017-11-05,2017-11-05,7602.81,7298.67,7383.3,1397.2357,10424179.6118,7460.5734822
2017-11-04,2017-11-04,7506.89,7000,7392.76,1328.456,9681044.59919,7287.44090824
2017-11-03,2017-11-03,7466.87,6940.55,7161.52,3578.7199,26008699.3731,7267.59849885
2017-11-02,2017-11-02,7343.5,6737.68,7032.65,6855.2918,47814999.1665,6974.90355794
2017-11-01,2017-11-01,6749.99,6355,6740,1784.5659,11689408.4113,6550.28116996
